>Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1-1 (tRNAscan-SE ID: chr.trna9) chr:780554-780629 (+) Lys (TTT) 76 bp Sc: 94.9
>Danio_rerio_tRNA-Glu-CTC-1-89 (tRNAscan-SE ID: chr15.trna48) Glu (CTC) 72 bp Sc: 73.2 chr15:16495927-16495998 (+)
>Danio_rerio_tRNA-Glu-CTC-1-9 (tRNAscan-SE ID: chr4.trna1212) Glu (CTC) 72 bp Sc: 73.2 chr4:37745931-37746002 (+)
>Danio_rerio_tRNA-Glu-CTC-1-90 (tRNAscan-SE ID: chr15.trna49) Glu (CTC) 72 bp Sc: 73.2 chr15:16498163-16498234 (+)
>Danio_rerio_tRNA-Glu-CTC-1-91 (tRNAscan-SE ID: chr15.trna50) Glu (CTC) 72 bp Sc: 73.2 chr15:16500399-16500470 (+)
>Danio_rerio_tRNA-Glu-CTC-1-92 (tRNAscan-SE ID: chr15.trna51) Glu (CTC) 72 bp Sc: 73.2 chr15:16502635-16502706 (+)
>Danio_rerio_tRNA-Glu-CTC-1-93 (tRNAscan-SE ID: chr15.trna52) Glu (CTC) 72 bp Sc: 73.2 chr15:16504871-16504942 (+)
>Danio_rerio_tRNA-Glu-CTC-1-94 (tRNAscan-SE ID: chr15.trna53) Glu (CTC) 72 bp Sc: 73.2 chr15:16507107-16507178 (+)
>Danio_rerio_tRNA-Glu-CTC-1-95 (tRNAscan-SE ID: chr15.trna58) Glu (CTC) 72 bp Sc: 73.2 chr15:19955647-19955718 (+)
>Danio_rerio_tRNA-Glu-CTC-1-96 (tRNAscan-SE ID: chr15.trna59) Glu (CTC) 72 bp Sc: 73.2 chr15:19961041-19961112 (+)
>Danio_rerio_tRNA-Glu-CTC-1-97 (tRNAscan-SE ID: chr15.trna60) Glu (CTC) 72 bp Sc: 73.2 chr15:19963204-19963275 (+)
>Danio_rerio_tRNA-Glu-CTC-1-98 (tRNAscan-SE ID: chr15.trna62) Glu (CTC) 72 bp Sc: 73.2 chr15:19967530-19967601 (+)
>Danio_rerio_tRNA-Glu-CTC-1-99 (tRNAscan-SE ID: chr16.trna26) Glu (CTC) 72 bp Sc: 73.2 chr16:40345637-40345708 (+)
>Danio_rerio_tRNA-Glu-CTC-10-1 (tRNAscan-SE ID: chr4.trna632) Glu (CTC) 72 bp Sc: 69.8 chr4:34190778-34190849 (+)
>Danio_rerio_tRNA-Glu-CTC-10-2 (tRNAscan-SE ID: chr4.trna877) Glu (CTC) 72 bp Sc: 69.8 chr4:36673669-36673740 (+)
>Danio_rerio_tRNA-Glu-CTC-10-3 (tRNAscan-SE ID: chrUn_KN147651v2.trna1) Glu (CTC) 72 bp Sc: 69.8 chrUn_KN147651v2:41581-41652 (+)
>Danio_rerio_tRNA-Glu-CTC-10-4 (tRNAscan-SE ID: chrUn_KN149694v1.trna31) Glu (CTC) 72 bp Sc: 69.8 chrUn_KN149694v1:113689-113760 (-)
>Danio_rerio_tRNA-Glu-CTC-10-5 (tRNAscan-SE ID: chrUn_KN150331v1.trna54) Glu (CTC) 72 bp Sc: 69.8 chrUn_KN150331v1:8117-8188 (-)
>Danio_rerio_tRNA-Glu-CTC-11-1 (tRNAscan-SE ID: chr4.trna1555) Glu (CTC) 72 bp Sc: 66.9 chr4:40090257-40090328 (+)
>Danio_rerio_tRNA-Glu-CTC-11-2 (tRNAscan-SE ID: chr4.trna8251) Glu (CTC) 72 bp Sc: 66.9 chr4:56053221-56053292 (-)
>Danio_rerio_tRNA-Glu-CTC-12-1 (tRNAscan-SE ID: chr15.trna42) Glu (CTC) 72 bp Sc: 72.4 chr15:16482510-16482581 (+)
>Danio_rerio_tRNA-Glu-CTC-13-1 (tRNAscan-SE ID: chr4.trna7353) Glu (CTC) 72 bp Sc: 68.5 chr4:60824529-60824600 (-)
>Danio_rerio_tRNA-Glu-CTC-13-2 (tRNAscan-SE ID: chr4.trna7352) Glu (CTC) 72 bp Sc: 68.5 chr4:60826786-60826857 (-)
>Danio_rerio_tRNA-Glu-CTC-13-3 (tRNAscan-SE ID: chr4.trna7350) Glu (CTC) 72 bp Sc: 68.5 chr4:60831297-60831368 (-)
>Danio_rerio_tRNA-Glu-CTC-14-1 (tRNAscan-SE ID: chr4.trna10417) Glu (CTC) 72 bp Sc: 71.8 chr4:41248362-41248433 (-)
>Danio_rerio_tRNA-Glu-CTC-15-1 (tRNAscan-SE ID: chr4.trna3628) Glu (CTC) 72 bp Sc: 68.4 chr4:54930135-54930206 (+)
>Danio_rerio_tRNA-Glu-CTC-16-1 (tRNAscan-SE ID: chr4.trna1451) Glu (CTC) 72 bp Sc: 67.6 chr4:39022567-39022638 (+)
>Danio_rerio_tRNA-Glu-CTC-16-2 (tRNAscan-SE ID: chr4.trna1728) Glu (CTC) 72 bp Sc: 67.6 chr4:41805109-41805180 (+)
>Danio_rerio_tRNA-Glu-CTC-16-3 (tRNAscan-SE ID: chr4.trna5712) Glu (CTC) 72 bp Sc: 67.6 chr4:67343416-67343487 (+)
>Danio_rerio_tRNA-Glu-CTC-17-1 (tRNAscan-SE ID: chr4.trna1665) Glu (CTC) 72 bp Sc: 70.4 chr4:41248030-41248101 (+)
>Danio_rerio_tRNA-Glu-CTC-18-1 (tRNAscan-SE ID: chr4.trna2602) Glu (CTC) 72 bp Sc: 66.6 chr4:47562747-47562818 (+)
>Danio_rerio_tRNA-Glu-CTC-19-1 (tRNAscan-SE ID: chr4.trna1603) Glu (CTC) 72 bp Sc: 65.2 chr4:40349339-40349410 (+)
>Danio_rerio_tRNA-Glu-CTC-2-1 (tRNAscan-SE ID: chr4.trna9387) Glu (CTC) 72 bp Sc: 72.1 chr4:49090050-49090121 (-)
>Danio_rerio_tRNA-Glu-CTC-20-1 (tRNAscan-SE ID: chr4.trna876) Glu (CTC) 72 bp Sc: 66.7 chr4:36673425-36673496 (+)
>Danio_rerio_tRNA-Glu-CTC-21-1 (tRNAscan-SE ID: chr4.trna1729) Glu (CTC) 72 bp Sc: 66.1 chr4:41807324-41807395 (+)
>Danio_rerio_tRNA-Glu-CTC-21-2 (tRNAscan-SE ID: chrUn_KN149686v1.trna1) Glu (CTC) 72 bp Sc: 66.1 chrUn_KN149686v1:21720-21791 (+)
>Danio_rerio_tRNA-Glu-CTC-22-1 (tRNAscan-SE ID: chr4.trna869) Glu (CTC) 72 bp Sc: 69.9 chr4:36179525-36179596 (+)
>Danio_rerio_tRNA-Glu-CTC-23-1 (tRNAscan-SE ID: chr4.trna870) Glu (CTC) 72 bp Sc: 68.5 chr4:36181781-36181852 (+)
>Danio_rerio_tRNA-Glu-CTC-23-2 (tRNAscan-SE ID: chr4.trna3059) Glu (CTC) 72 bp Sc: 68.5 chr4:51360889-51360960 (+)
>Danio_rerio_tRNA-Glu-CTC-24-1 (tRNAscan-SE ID: chr4.trna1450) Glu (CTC) 72 bp Sc: 65.7 chr4:39020338-39020409 (+)
>Danio_rerio_tRNA-Glu-CTC-25-1 (tRNAscan-SE ID: chr4.trna884) Glu (CTC) 72 bp Sc: 64.8 chr4:36712212-36712283 (+)
>Danio_rerio_tRNA-Glu-CTC-26-1 (tRNAscan-SE ID: chrUn_KN150025v1.trna15) Glu (CTC) 72 bp Sc: 65.4 chrUn_KN150025v1:24795-24866 (-)
>Danio_rerio_tRNA-Glu-CTC-27-1 (tRNAscan-SE ID: chr4.trna8255) Glu (CTC) 72 bp Sc: 68.7 chr4:56044220-56044291 (-)
>Danio_rerio_tRNA-Glu-CTC-27-2 (tRNAscan-SE ID: chr4.trna8254) Glu (CTC) 72 bp Sc: 68.7 chr4:56046467-56046538 (-)
>Danio_rerio_tRNA-Glu-CTC-28-1 (tRNAscan-SE ID: chr4.trna631) Glu (CTC) 72 bp Sc: 68.5 chr4:34188523-34188594 (+)
>Danio_rerio_tRNA-Glu-CTC-29-1 (tRNAscan-SE ID: chr4.trna3968) Glu (CTC) 72 bp Sc: 66.5 chr4:57023979-57024050 (+)
>Danio_rerio_tRNA-Glu-CTC-3-1 (tRNAscan-SE ID: chr4.trna8096) Glu (CTC) 72 bp Sc: 75.2 chr4:57753656-57753727 (-)
>Danio_rerio_tRNA-Glu-CTC-30-1 (tRNAscan-SE ID: chr15.trna40) Glu (CTC) 72 bp Sc: 67.5 chr15:16477819-16477890 (+)
>Danio_rerio_tRNA-Glu-CTC-31-1 (tRNAscan-SE ID: chr15.trna61) Glu (CTC) 72 bp Sc: 66.5 chr15:19965367-19965438 (+)
>Danio_rerio_tRNA-Glu-CTC-32-1 (tRNAscan-SE ID: chr15.trna44) Glu (CTC) 72 bp Sc: 64.4 chr15:16486982-16487053 (+)
>Danio_rerio_tRNA-Glu-CTC-33-1 (tRNAscan-SE ID: chr4.trna8097) Glu (CTC) 72 bp Sc: 68.6 chr4:57748583-57748654 (-)
>Danio_rerio_tRNA-Glu-CTC-34-1 (tRNAscan-SE ID: chr4.trna7379) Glu (CTC) 72 bp Sc: 65.8 chr4:60327979-60328050 (-)
>Danio_rerio_tRNA-Glu-CTC-35-1 (tRNAscan-SE ID: chr4.trna5419) Glu (CTC) 72 bp Sc: 64.4 chr4:64827775-64827846 (+)
>Danio_rerio_tRNA-Glu-CTC-36-1 (tRNAscan-SE ID: chr4.trna1942) Glu (CTC) 72 bp Sc: 66.1 chr4:43036593-43036664 (+)
>Danio_rerio_tRNA-Glu-CTC-36-2 (tRNAscan-SE ID: chr4.trna6179) Glu (CTC) 72 bp Sc: 66.1 chr4:71837481-71837552 (+)
>Danio_rerio_tRNA-Glu-CTC-37-1 (tRNAscan-SE ID: chr4.trna7348) Glu (CTC) 72 bp Sc: 64.0 chr4:60835809-60835880 (-)
>Danio_rerio_tRNA-Glu-CTC-38-1 (tRNAscan-SE ID: chr4.trna12229) Glu (CTC) 72 bp Sc: 62.4 chr4:31158607-31158678 (-)
>Danio_rerio_tRNA-Glu-CTC-39-1 (tRNAscan-SE ID: chrUn_KZ116044v1.trna16) Glu (CTC) 72 bp Sc: 63.5 chrUn_KZ116044v1:18154-18225 (-)
>Danio_rerio_tRNA-Glu-CTC-4-1 (tRNAscan-SE ID: chr15.trna57) Glu (CTC) 72 bp Sc: 71.2 chr15:19953484-19953555 (+)
>Danio_rerio_tRNA-Glu-CTC-4-2 (tRNAscan-SE ID: chr15.trna67) Glu (CTC) 72 bp Sc: 71.2 chr15:19978344-19978415 (+)
>Danio_rerio_tRNA-Glu-CTC-4-3 (tRNAscan-SE ID: chr15.trna68) Glu (CTC) 72 bp Sc: 71.2 chr15:19980506-19980577 (+)
>Danio_rerio_tRNA-Glu-CTC-4-4 (tRNAscan-SE ID: chr15.trna69) Glu (CTC) 72 bp Sc: 71.2 chr15:19982668-19982739 (+)
>Danio_rerio_tRNA-Glu-CTC-4-5 (tRNAscan-SE ID: chr15.trna70) Glu (CTC) 72 bp Sc: 71.2 chr15:19984830-19984901 (+)
>Danio_rerio_tRNA-Glu-CTC-40-1 (tRNAscan-SE ID: chrUn_KN149682v1.trna12) Glu (CTC) 72 bp Sc: 61.9 chrUn_KN149682v1:33252-33323 (+)
>Danio_rerio_tRNA-Glu-CTC-40-2 (tRNAscan-SE ID: chrUn_KN149682v1.trna14) Glu (CTC) 72 bp Sc: 61.9 chrUn_KN149682v1:37712-37783 (+)
>Danio_rerio_tRNA-Glu-CTC-41-1 (tRNAscan-SE ID: chr4.trna7988) Glu (CTC) 72 bp Sc: 66.6 chr4:58630837-58630908 (-)
>Danio_rerio_tRNA-Glu-CTC-42-1 (tRNAscan-SE ID: chr4.trna1218) Glu (CTC) 72 bp Sc: 66.2 chr4:37756498-37756569 (+)
>Danio_rerio_tRNA-Glu-CTC-43-1 (tRNAscan-SE ID: chr4.trna7378) Glu (CTC) 72 bp Sc: 64.8 chr4:60330209-60330280 (-)
>Danio_rerio_tRNA-Glu-CTC-44-1 (tRNAscan-SE ID: chr4.trna5621) Glu (CTC) 72 bp Sc: 64.0 chr4:67162937-67163008 (+)
>Danio_rerio_tRNA-Glu-CTC-45-1 (tRNAscan-SE ID: chr15.trna64) Glu (CTC) 72 bp Sc: 65.4 chr15:19971856-19971927 (+)
>Danio_rerio_tRNA-Glu-CTC-46-1 (tRNAscan-SE ID: chr4.trna8796) Glu (CTC) 72 bp Sc: 63.6 chr4:53222846-53222917 (-)
>Danio_rerio_tRNA-Glu-CTC-47-1 (tRNAscan-SE ID: chr4.trna1727) Glu (CTC) 72 bp Sc: 62.3 chr4:41802878-41802949 (+)
>Danio_rerio_tRNA-Glu-CTC-48-1 (tRNAscan-SE ID: chr4.trna9108) Glu (CTC) 72 bp Sc: 65.3 chr4:51024877-51024948 (-)
>Danio_rerio_tRNA-Glu-CTC-49-1 (tRNAscan-SE ID: chr4.trna10351) Glu (CTC) 72 bp Sc: 64.9 chr4:41964660-41964731 (-)
>Danio_rerio_tRNA-Glu-CTC-5-1 (tRNAscan-SE ID: chr4.trna7374) Glu (CTC) 72 bp Sc: 74.2 chr4:60339128-60339199 (-)
>Danio_rerio_tRNA-Glu-CTC-50-1 (tRNAscan-SE ID: chr22.trna192) Glu (CTC) 72 bp Sc: 64.4 chr22:38811369-38811440 (+)
>Danio_rerio_tRNA-Glu-CTC-51-1 (tRNAscan-SE ID: chr4.trna1730) Glu (CTC) 72 bp Sc: 63.8 chr4:41809554-41809625 (+)
>Danio_rerio_tRNA-Glu-CTC-52-1 (tRNAscan-SE ID: chr4.trna1343) Glu (CTC) 72 bp Sc: 62.1 chr4:38683650-38683721 (+)
>Danio_rerio_tRNA-Glu-CTC-53-1 (tRNAscan-SE ID: chr4.trna3626) Glu (CTC) 72 bp Sc: 59.9 chr4:54925675-54925746 (+)
>Danio_rerio_tRNA-Glu-CTC-54-1 (tRNAscan-SE ID: chr15.trna71) Glu (CTC) 72 bp Sc: 60.3 chr15:19986993-19987064 (+)
>Danio_rerio_tRNA-Glu-CTC-55-1 (tRNAscan-SE ID: chr4.trna5418) Glu (CTC) 72 bp Sc: 63.7 chr4:64825546-64825617 (+)
>Danio_rerio_tRNA-Glu-CTC-56-1 (tRNAscan-SE ID: chr4.trna7002) Glu (CTC) 72 bp Sc: 63.0 chr4:63105552-63105623 (-)
>Danio_rerio_tRNA-Glu-CTC-57-1 (tRNAscan-SE ID: chr4.trna4042) Glu (CTC) 72 bp Sc: 64.8 chr4:57830309-57830380 (+)
>Danio_rerio_tRNA-Glu-CTC-57-2 (tRNAscan-SE ID: chr4.trna4043) Glu (CTC) 72 bp Sc: 64.8 chr4:57832539-57832610 (+)
>Danio_rerio_tRNA-Glu-CTC-57-3 (tRNAscan-SE ID: chr4.trna4048) Glu (CTC) 72 bp Sc: 64.8 chr4:57843685-57843756 (+)
>Danio_rerio_tRNA-Glu-CTC-57-4 (tRNAscan-SE ID: chr4.trna4049) Glu (CTC) 72 bp Sc: 64.8 chr4:57845914-57845985 (+)
>Danio_rerio_tRNA-Glu-CTC-58-1 (tRNAscan-SE ID: chrUn_KN149847v1.trna36) Glu (CTC) 72 bp Sc: 56.2 chrUn_KN149847v1:36726-36797 (-)
>Danio_rerio_tRNA-Glu-CTC-59-1 (tRNAscan-SE ID: chrUn_KN147642v2.trna80) Glu (CTC) 72 bp Sc: 69.1 chrUn_KN147642v2:79530-79601 (-)
>Danio_rerio_tRNA-Glu-CTC-6-1 (tRNAscan-SE ID: chrUn_KN150105v1.trna2) Glu (CTC) 72 bp Sc: 73.3 chrUn_KN150105v1:2719-2790 (+)
>Danio_rerio_tRNA-Glu-CTC-6-2 (tRNAscan-SE ID: chrUn_KN150331v1.trna55) Glu (CTC) 72 bp Sc: 73.3 chrUn_KN150331v1:5860-5931 (-)
>Danio_rerio_tRNA-Glu-CTC-60-1 (tRNAscan-SE ID: chr4.trna878) Glu (CTC) 72 bp Sc: 61.6 chr4:36677944-36678015 (+)
>Danio_rerio_tRNA-Glu-CTC-61-1 (tRNAscan-SE ID: chr4.trna4890) Glu (CTC) 72 bp Sc: 59.6 chr4:61824497-61824568 (+)
>Danio_rerio_tRNA-Glu-CTC-62-1 (tRNAscan-SE ID: chr4.trna10502) Glu (CTC) 72 bp Sc: 56.6 chr4:40445799-40445870 (-)
>Danio_rerio_tRNA-Glu-CTC-63-1 (tRNAscan-SE ID: chr4.trna1454) Glu (CTC) 72 bp Sc: 61.0 chr4:39029255-39029326 (+)
>Danio_rerio_tRNA-Glu-CTC-64-1 (tRNAscan-SE ID: chr4.trna7377) Glu (CTC) 72 bp Sc: 56.9 chr4:60332440-60332511 (-)
>Danio_rerio_tRNA-Glu-CTC-64-2 (tRNAscan-SE ID: chr4.trna7375) Glu (CTC) 72 bp Sc: 56.9 chr4:60336900-60336971 (-)
>Danio_rerio_tRNA-Glu-CTC-65-1 (tRNAscan-SE ID: chr4.trna859) Glu (CTC) 72 bp Sc: 61.3 chr4:35748141-35748212 (+)
>Danio_rerio_tRNA-Glu-CTC-66-1 (tRNAscan-SE ID: chr4.trna2653) Glu (CTC) 72 bp Sc: 61.0 chr4:47840426-47840497 (+)
>Danio_rerio_tRNA-Glu-CTC-67-1 (tRNAscan-SE ID: chr4.trna7376) Glu (CTC) 72 bp Sc: 61.1 chr4:60334669-60334740 (-)
>Danio_rerio_tRNA-Glu-CTC-68-1 (tRNAscan-SE ID: chr4.trna3629) Glu (CTC) 72 bp Sc: 56.8 chr4:54932365-54932436 (+)
>Danio_rerio_tRNA-Glu-CTC-69-1 (tRNAscan-SE ID: chrUn_KN149694v1.trna32) Glu (CTC) 72 bp Sc: 54.5 chrUn_KN149694v1:111432-111503 (-)
>Danio_rerio_tRNA-Glu-CTC-7-1 (tRNAscan-SE ID: chr4.trna1602) Glu (CTC) 72 bp Sc: 70.3 chr4:40347121-40347192 (+)
>Danio_rerio_tRNA-Glu-CTC-7-2 (tRNAscan-SE ID: chr4.trna1604) Glu (CTC) 72 bp Sc: 70.3 chr4:40351570-40351641 (+)
>Danio_rerio_tRNA-Glu-CTC-70-1 (tRNAscan-SE ID: chr4.trna10413) Glu (CTC) 72 bp Sc: 55.7 chr4:41374456-41374527 (-)
>Danio_rerio_tRNA-Glu-CTC-71-1 (tRNAscan-SE ID: chr4.trna337) Glu (CTC) 72 bp Sc: 53.8 chr4:32691912-32691983 (+)
>Danio_rerio_tRNA-Glu-CTC-72-1 (tRNAscan-SE ID: chr4.trna3990) Glu (CTC) 72 bp Sc: 58.1 chr4:57469143-57469214 (+)
>Danio_rerio_tRNA-Glu-CTC-73-1 (tRNAscan-SE ID: chr4.trna9388) Glu (CTC) 72 bp Sc: 62.0 chr4:49087820-49087891 (-)
>Danio_rerio_tRNA-Glu-CTC-73-2 (tRNAscan-SE ID: chrUn_KN147651v2.trna2) Glu (CTC) 72 bp Sc: 62.0 chrUn_KN147651v2:43807-43878 (+)
>Danio_rerio_tRNA-Glu-CTC-8-1 (tRNAscan-SE ID: chr15.trna65) Glu (CTC) 72 bp Sc: 68.4 chr15:19974019-19974090 (+)
>Danio_rerio_tRNA-Glu-CTC-8-2 (tRNAscan-SE ID: chr15.trna66) Glu (CTC) 72 bp Sc: 68.4 chr15:19976182-19976253 (+)
>Danio_rerio_tRNA-Glu-CTC-8-3 (tRNAscan-SE ID: chrUn_KN149682v1.trna13) Glu (CTC) 72 bp Sc: 68.4 chrUn_KN149682v1:35482-35553 (+)
>Danio_rerio_tRNA-Glu-CTC-9-1 (tRNAscan-SE ID: chr4.trna7351) Glu (CTC) 72 bp Sc: 66.5 chr4:60829041-60829112 (-)
>Danio_rerio_tRNA-Glu-CTC-9-2 (tRNAscan-SE ID: chr4.trna7349) Glu (CTC) 72 bp Sc: 66.5 chr4:60833552-60833623 (-)
>Danio_rerio_tRNA-Glu-TTC-1-1 (tRNAscan-SE ID: chr4.trna11900) Glu (TTC) 72 bp Sc: 72.9 chr4:34191110-34191181 (-)
>Danio_rerio_tRNA-Glu-TTC-1-2 (tRNAscan-SE ID: chrUn_KN147651v2.trna163) Glu (TTC) 72 bp Sc: 72.9 chrUn_KN147651v2:46366-46437 (-)
>Danio_rerio_tRNA-Glu-TTC-10-1 (tRNAscan-SE ID: chr4.trna8089) Glu (TTC) 72 bp Sc: 68.0 chr4:57830641-57830712 (-)
>Danio_rerio_tRNA-Glu-TTC-10-2 (tRNAscan-SE ID: chr4.trna8086) Glu (TTC) 72 bp Sc: 68.0 chr4:57832871-57832942 (-)
>Danio_rerio_tRNA-Glu-TTC-11-1 (tRNAscan-SE ID: chr4.trna11117) Glu (TTC) 72 bp Sc: 67.1 chr4:37749772-37749843 (-)
>Danio_rerio_tRNA-Glu-TTC-11-2 (tRNAscan-SE ID: chr4.trna11113) Glu (TTC) 72 bp Sc: 67.1 chr4:37753292-37753363 (-)
>Danio_rerio_tRNA-Glu-TTC-11-3 (tRNAscan-SE ID: chr4.trna10244) Glu (TTC) 72 bp Sc: 67.1 chr4:43041300-43041371 (-)
>Danio_rerio_tRNA-Glu-TTC-11-4 (tRNAscan-SE ID: chr4.trna8068) Glu (TTC) 72 bp Sc: 67.1 chr4:57846246-57846317 (-)
>Danio_rerio_tRNA-Glu-TTC-11-5 (tRNAscan-SE ID: chrUn_KZ116044v1.trna8) Glu (TTC) 72 bp Sc: 67.1 chrUn_KZ116044v1:25852-25923 (+)
>Danio_rerio_tRNA-Glu-TTC-12-1 (tRNAscan-SE ID: chrUn_KN150105v1.trna62) Glu (TTC) 72 bp Sc: 70.4 chrUn_KN150105v1:789-860 (-)
>Danio_rerio_tRNA-Glu-TTC-12-2 (tRNAscan-SE ID: chrUn_KN150105v1.trna59) Glu (TTC) 72 bp Sc: 70.4 chrUn_KN150105v1:3055-3126 (-)
>Danio_rerio_tRNA-Glu-TTC-12-3 (tRNAscan-SE ID: chrUn_KN150105v1.trna56) Glu (TTC) 72 bp Sc: 70.4 chrUn_KN150105v1:5330-5401 (-)
>Danio_rerio_tRNA-Glu-TTC-12-4 (tRNAscan-SE ID: chrUn_KN150105v1.trna53) Glu (TTC) 72 bp Sc: 70.4 chrUn_KN150105v1:7600-7671 (-)
>Danio_rerio_tRNA-Glu-TTC-12-5 (tRNAscan-SE ID: chrUn_KN150331v1.trna10) Glu (TTC) 72 bp Sc: 70.4 chrUn_KN150331v1:7781-7852 (+)
>Danio_rerio_tRNA-Glu-TTC-13-1 (tRNAscan-SE ID: chr4.trna11595) Glu (TTC) 72 bp Sc: 64.2 chr4:36179854-36179925 (-)
>Danio_rerio_tRNA-Glu-TTC-14-1 (tRNAscan-SE ID: chr4.trna1612) Glu (TTC) 72 bp Sc: 69.3 chr4:40445467-40445538 (+)
>Danio_rerio_tRNA-Glu-TTC-15-1 (tRNAscan-SE ID: chrUn_KN150025v1.trna12) Glu (TTC) 72 bp Sc: 67.9 chrUn_KN150025v1:24459-24530 (+)
>Danio_rerio_tRNA-Glu-TTC-16-1 (tRNAscan-SE ID: chr4.trna8479) Glu (TTC) 72 bp Sc: 64.5 chr4:54932697-54932768 (-)
>Danio_rerio_tRNA-Glu-TTC-17-1 (tRNAscan-SE ID: chr4.trna10898) Glu (TTC) 72 bp Sc: 64.9 chr4:38681728-38681799 (-)
>Danio_rerio_tRNA-Glu-TTC-17-2 (tRNAscan-SE ID: chr4.trna4590) Glu (TTC) 72 bp Sc: 64.9 chr4:60332108-60332179 (+)
>Danio_rerio_tRNA-Glu-TTC-17-3 (tRNAscan-SE ID: chr4.trna4596) Glu (TTC) 72 bp Sc: 64.9 chr4:60336568-60336639 (+)
>Danio_rerio_tRNA-Glu-TTC-18-1 (tRNAscan-SE ID: chr4.trna11587) Glu (TTC) 72 bp Sc: 64.9 chr4:36676029-36676100 (-)
>Danio_rerio_tRNA-Glu-TTC-18-2 (tRNAscan-SE ID: chr4.trna1750) Glu (TTC) 72 bp Sc: 64.9 chr4:41964328-41964399 (+)
>Danio_rerio_tRNA-Glu-TTC-18-3 (tRNAscan-SE ID: chr4.trna3466) Glu (TTC) 72 bp Sc: 64.9 chr4:53222514-53222585 (+)
>Danio_rerio_tRNA-Glu-TTC-18-4 (tRNAscan-SE ID: chr4.trna3881) Glu (TTC) 72 bp Sc: 64.9 chr4:56040421-56040492 (+)
>Danio_rerio_tRNA-Glu-TTC-18-5 (tRNAscan-SE ID: chrUn_KZ116044v1.trna2) Glu (TTC) 72 bp Sc: 64.9 chrUn_KZ116044v1:17822-17893 (+)
>Danio_rerio_tRNA-Glu-TTC-19-1 (tRNAscan-SE ID: chr4.trna2763) Glu (TTC) 72 bp Sc: 63.8 chr4:49091949-49092020 (+)
>Danio_rerio_tRNA-Glu-TTC-19-2 (tRNAscan-SE ID: chr4.trna2766) Glu (TTC) 72 bp Sc: 63.8 chr4:49094180-49094251 (+)
>Danio_rerio_tRNA-Glu-TTC-2-1 (tRNAscan-SE ID: chr4.trna172) Glu (TTC) 72 bp Sc: 70.4 chr4:31160506-31160577 (+)
>Danio_rerio_tRNA-Glu-TTC-2-10 (tRNAscan-SE ID: chr4.trna11111) Glu (TTC) 72 bp Sc: 70.4 chr4:37755053-37755124 (-)
>Danio_rerio_tRNA-Glu-TTC-2-11 (tRNAscan-SE ID: chr4.trna11109) Glu (TTC) 72 bp Sc: 70.4 chr4:37756819-37756890 (-)
>Danio_rerio_tRNA-Glu-TTC-2-12 (tRNAscan-SE ID: chr4.trna10901) Glu (TTC) 72 bp Sc: 70.4 chr4:38656269-38656340 (-)
>Danio_rerio_tRNA-Glu-TTC-2-13 (tRNAscan-SE ID: chr4.trna10782) Glu (TTC) 72 bp Sc: 70.4 chr4:39016406-39016477 (-)
>Danio_rerio_tRNA-Glu-TTC-2-14 (tRNAscan-SE ID: chr4.trna10779) Glu (TTC) 72 bp Sc: 70.4 chr4:39018440-39018511 (-)
>Danio_rerio_tRNA-Glu-TTC-2-15 (tRNAscan-SE ID: chr4.trna10516) Glu (TTC) 72 bp Sc: 70.4 chr4:40345222-40345293 (-)
>Danio_rerio_tRNA-Glu-TTC-2-16 (tRNAscan-SE ID: chr4.trna10514) Glu (TTC) 72 bp Sc: 70.4 chr4:40347441-40347512 (-)
>Danio_rerio_tRNA-Glu-TTC-2-17 (tRNAscan-SE ID: chr4.trna1671) Glu (TTC) 72 bp Sc: 70.4 chr4:41252480-41252551 (+)
>Danio_rerio_tRNA-Glu-TTC-2-18 (tRNAscan-SE ID: chr4.trna1674) Glu (TTC) 72 bp Sc: 70.4 chr4:41254703-41254774 (+)
>Danio_rerio_tRNA-Glu-TTC-2-19 (tRNAscan-SE ID: chr4.trna1690) Glu (TTC) 72 bp Sc: 70.4 chr4:41374124-41374195 (+)
>Danio_rerio_tRNA-Glu-TTC-2-2 (tRNAscan-SE ID: chr4.trna12063) Glu (TTC) 72 bp Sc: 70.4 chr4:32692244-32692315 (-)
>Danio_rerio_tRNA-Glu-TTC-2-20 (tRNAscan-SE ID: chr4.trna10253) Glu (TTC) 72 bp Sc: 70.4 chr4:43034695-43034766 (-)
>Danio_rerio_tRNA-Glu-TTC-2-21 (tRNAscan-SE ID: chr4.trna2545) Glu (TTC) 72 bp Sc: 70.4 chr4:47121618-47121689 (+)
>Danio_rerio_tRNA-Glu-TTC-2-22 (tRNAscan-SE ID: chr4.trna2548) Glu (TTC) 72 bp Sc: 70.4 chr4:47123849-47123920 (+)
>Danio_rerio_tRNA-Glu-TTC-2-23 (tRNAscan-SE ID: chr4.trna2550) Glu (TTC) 72 bp Sc: 70.4 chr4:47125838-47125909 (+)
>Danio_rerio_tRNA-Glu-TTC-2-24 (tRNAscan-SE ID: chr4.trna9555) Glu (TTC) 72 bp Sc: 70.4 chr4:48463740-48463811 (-)
>Danio_rerio_tRNA-Glu-TTC-2-25 (tRNAscan-SE ID: chr4.trna9552) Glu (TTC) 72 bp Sc: 70.4 chr4:48465970-48466041 (-)
